,NDVI,SR,GCVI,NDWI,VARI,GNDVI,GRVI,SAVI,VSSI,S1,S2,S3_G1,S3_G2,S4,S5_G1,S5_G2,S6_G1,S6_G2,SI,NDSI,SI1_G1,SI1_G2,SI2_G1,SI2_G2,SI3_G1,SI3_G2,Int1_G1,Int1_G2,Int2_G1,Int2_G2,YRS6_G1,YRS6_G2,RS6_G1,RS6_G2,RS1,RS2,RS3_G1,RS3_G2,RS4,RS5_G1,RS5_G2,RNDSI,RNDVI,RSI,RSI1_G1,RSI1_G2,RSI2_G1,RSI2_G2,RSI3_G1,RSI3_G2,RInt1_G1,RInt1_G2,RInt2_G1,RInt2_G2,YRS1,YRS2,YRS3_G1,YRS3_G2,YRS4,YRS5_G1,YRS5_G2,YRSI,YRSI1_G1,YRSI1_G2,YRSI2_G1,YRSI2_G2,YRSI3_G1,YRSI3_G2,YRInt1_G1,YRInt1_G2,YRInt2_G1,YRInt2_G2,YRNDSI,YRNDVI,YBS1,YBS2,YBS4,YBS5_G1,YBS5_G2,YBSI,YGS3,YGSI1,YGSI2,YGSI3,YGInt1,YGInt2,YNS6_G1,YNS6_G2,YNSI2_G1,YNSI2_G2,YNInt2_G1,YNInt2_G2,YNNDSI,YNNDVI,b1_1,b2_1,b3_1,b4_1,SAR
0,0.36412695,2.145283,2.336546,-0.5388026,-0.3306107,0.5388026,3.336546,0.24272218,-19060.0,0.5274423,-0.30939963,1588.0479,1745.8513,959.3711,1106.4788,1003.11487,4433.125,4433.125,44.994366,-0.36412695,1058.7463,1091.2607,3235.817,3258.6182,1572.0536,1601.3157,1085.5,1111.75,2494.0,2526.25,4212.0464,3845.532,5553.611,5027.9395,0.4297621,-0.3988751,1969.0852,2160.7637,1073.1665,1368.0145,1253.3464,-0.25747433,0.25747433,48.574677,1187.6477,1236.4934,3400.0776,3416.8918,1870.028,1900.1013,1257.0,1293.5,2671.75,2712.75,0.5634256,-0.27924716,1518.5098,1663.5996,936.307,1024.8369,943.6415,44.1531,1029.5107,1085.803,3211.5166,3236.0928,1515.1666,1568.6487,1051.0,1097.75,2465.25,2507.75,-0.38627487,0.38627487,0.93902767,-0.031445205,1282.2217,1965.0287,1813.7615,50.650726,2356.958,1282.2217,3362.1753,1814.8289,1282.75,2691.5,1965.0287,1813.7615,2004.5259,2029.7554,1708.75,1740.25,0.031445205,-0.031445205,0.0,0.0,0.0,0.0,26.92661403181237
1,0.43958536,2.5687957,2.1072354,-0.5130504,-0.15437363,0.5130504,3.1072354,0.29301357,-15495.0,0.69014764,-0.18333259,1129.4353,1217.9592,799.3998,810.4211,749.0065,3010.7236,3010.7236,40.34841,-0.43958536,870.1477,898.98083,2755.6873,2771.149,1242.4587,1277.1582,875.0,900.5,2097.25,2129.0,3382.0925,3139.8494,4294.037,4039.7332,0.49625283,-0.33667555,1610.9244,1710.9844,957.5565,1164.7561,1085.8315,-0.2882114,0.2882114,45.094288,1042.6567,1076.0237,2915.6392,2935.5974,1569.7004,1600.9348,1079.0,1102.75,2306.0,2334.25,0.6092186,-0.24284022,1273.0461,1387.8453,845.84937,916.2279,845.7156,41.797104,918.91986,953.67444,2789.302,2806.857,1335.2566,1369.0117,931.0,961.0,2165.75,2194.5,-0.39178926,0.39178926,1.1260474,0.059286926,1011.43567,1325.7886,1221.0682,45.03869,1564.389,1011.43567,2839.8105,1438.3337,1014.25,2254.25,1325.7886,1221.0682,1631.8356,1662.3491,1401.75,1432.25,-0.059286926,0.059286926,0.51941335,0.4733988,0.3373895,0.1815474,86.32764454714517
2,0.5086772,3.07066,2.571547,-0.56250477,-0.12884238,0.56250477,3.571547,0.33907217,-16807.0,0.6934016,-0.18105596,1125.3622,1197.2275,752.821,730.7379,681.3462,3248.8303,3248.8303,39.12799,-0.5086772,835.1046,863.0686,3014.1152,3019.8665,1190.5988,1225.314,838.5,864.75,2222.5,2245.75,3736.3174,3499.8784,5178.2383,4893.3843,0.43140036,-0.39723346,1786.9814,1888.3911,949.31165,1173.8032,1095.6101,-0.31428796,0.31428796,45.43673,1060.3835,1080.7491,3224.165,3229.0999,1638.1427,1656.6312,1109.0,1127.0,2491.75,2515.5,0.60119915,-0.24906385,1298.2792,1378.9951,802.22675,829.4891,783.5641,40.718548,891.83594,917.32184,3050.1199,3069.3213,1292.6299,1317.5111,903.0,924.5,2287.0,2320.5,-0.45334184,0.45334184,1.1602566,0.074180216,974.04224,1212.5646,1147.2601,44.187096,1504.5273,974.04224,3091.4229,1383.74,976.25,2367.75,1212.5646,1147.2601,1578.8761,1604.8911,1356.5,1383.25,-0.074180216,0.074180216,0.65488744,0.34332937,0.46119186,0.19246767,112.75428590831636
3,0.4168389,2.4295893,1.797036,-0.4732732,-0.12538943,0.4732732,2.7970362,0.27785128,-15069.5,0.7016021,-0.17536293,1205.499,1266.1162,819.6887,814.4869,770.8344,2782.001,2782.001,40.792156,-0.4168389,910.3331,929.49817,2699.0483,2713.629,1295.7369,1316.6343,913.5,930.25,2099.25,2119.5,3081.6072,2944.3472,3790.124,3664.812,0.50530434,-0.32865387,1669.5352,1741.2358,970.2162,1110.4817,1043.8142,-0.2654978,0.2654978,45.425766,1070.6355,1093.0542,2853.5522,2863.8486,1602.3809,1621.7747,1105.0,1120.5,2282.25,2300.75,0.6222137,-0.23288359,1370.5728,1445.45,875.50085,913.81824,866.2061,42.42051,965.43384,991.99567,2747.6372,2765.8335,1393.8748,1422.5953,974.75,999.25,2159.25,2171.0,-0.3651697,0.3651697,1.1267637,0.05960247,1044.2146,1295.0933,1244.0469,45.73838,1577.7455,1044.2146,2792.0605,1481.7876,1046.0,2224.75,1295.0933,1244.0469,1703.0771,1722.4656,1465.75,1484.5,-0.05960247,0.05960247,0.5247887,0.47071534,0.4315712,0.09333643,193.13007999591315
4,0.3547552,2.1004753,1.346602,-0.40237856,-0.10926616,0.40237856,2.346602,0.23645896,-11940.0,0.7735855,-0.12766625,988.8168,1038.4199,752.2064,743.1848,706.3855,2061.6646,2061.6646,39.02558,-0.3547552,809.9948,831.3877,2175.7012,2185.2197,1149.053,1178.447,811.25,832.25,1743.25,1757.5,2270.039,2172.393,2556.608,2449.7095,0.6035914,-0.2472158,1257.1445,1325.8751,854.03577,956.30646,912.2394,-0.2616394,0.2616394,41.90461,910.3397,933.745,2286.9507,2293.477,1324.5916,1351.4622,924.0,944.75,1851.5,1871.5,0.6949164,-0.17999917,1081.4716,1143.6299,798.9088,841.2516,786.45856,40.342113,850.2102,876.5819,2220.6958,2232.7773,1218.1619,1247.9087,856.0,879.5,1796.25,1813.25,-0.318139,0.318139,1.1030495,0.04899908,907.98413,1071.6401,1016.19446,42.661453,1234.6151,907.98413,2257.6265,1289.7778,910.0,1834.25,1071.6401,1016.19446,1498.335,1522.3079,1291.25,1314.25,-0.04899908,0.04899908,0.5178165,0.47464147,0.4072183,0.110598184,126.06024787975637
5,0.32980004,1.984184,2.0849056,-0.5103926,-0.32467532,0.5103926,3.0849056,0.21984021,-18415.0,0.54071426,-0.29809922,1610.7875,1802.504,996.0768,1140.6586,1027.6377,4181.4087,4181.4087,45.71652,-0.32980004,1087.619,1147.0605,3126.427,3153.7283,1616.713,1673.937,1114.5,1165.5,2450.0,2509.0,4115.658,3631.8706,5092.33,4610.269,0.4434629,-0.3855569,1989.8934,2208.0842,1098.5936,1386.1482,1238.8839,-0.23461892,0.23461892,48.887627,1203.8871,1265.4916,3279.9138,3305.9478,1878.0613,1921.994,1268.5,1313.0,2610.5,2670.5,0.56039757,-0.28172463,1585.6776,1760.925,983.7195,1107.1202,989.4365,45.376205,1078.4646,1137.5808,3134.6174,3161.8481,1591.1663,1647.9165,1102.5,1151.5,2432.5,2503.5,-0.3439507,0.3439507,0.94930196,-0.026008293,1343.9628,2074.5806,1846.8671,51.845924,2443.0647,1343.9628,3297.4539,1900.7556,1344.0,2692.0,2074.5806,1846.8671,2085.846,2135.9219,1773.5,1829.0,0.026008293,-0.026008293,0.62109685,0.37765822,0.4043735,0.2164315,138.0821333207389
6,0.4025788,2.3477218,2.53125,-0.5586207,-0.30402383,0.5586207,3.53125,0.26835382,-18511.0,0.52504176,-0.3114395,1512.2607,1603.2858,884.23694,971.13416,904.6128,4264.185,4264.185,43.127716,-0.4025788,985.9128,1022.4676,3175.907,3200.8896,1449.1628,1486.8074,1005.5,1037.0,2423.5,2465.5,4050.3438,3717.7117,5470.3423,5057.909,0.41587517,-0.4125539,1910.6754,2052.739,995.6254,1234.2343,1164.475,-0.29212496,0.29212496,46.765373,1099.8181,1149.5599,3302.5398,3321.2415,1730.7397,1768.1233,1163.0,1197.0,2576.0,2612.0,0.5619621,-0.28044078,1418.238,1535.6907,854.6988,927.6362,858.86285,42.225586,957.9144,986.77655,3152.1792,3174.5518,1398.4309,1426.6156,973.5,996.0,2388.0,2423.0,-0.42158347,0.42158347,0.9335521,-0.034365717,1176.329,1721.1191,1589.2129,48.528343,2112.2131,1176.329,3278.093,1666.8909,1177.5,2592.0,1721.1191,1589.2129,1848.0609,1871.3113,1576.5,1603.0,0.034365717,-0.034365717,0.7945455,0.20858546,0.4734849,0.32115504,75.26303020351372
7,0.3574819,2.1127527,2.0605714,-0.5074585,-0.27854195,0.5074585,3.0605714,0.2382915,-18029.0,0.57564,-0.26932546,1529.0669,1661.8335,968.8137,1070.0836,978.72784,3877.8157,3877.8157,44.833023,-0.3574819,1054.3054,1103.2823,3105.2969,3120.0134,1547.0604,1597.113,1073.0,1116.0,2422.0,2456.5,3866.9832,3545.3953,4808.129,4428.112,0.47032827,-0.36024046,1876.2566,2032.2299,1081.7764,1329.8182,1214.4635,-0.26142251,0.26142251,48.228622,1175.83,1227.3484,3233.3562,3253.5786,1809.797,1849.1538,1230.5,1266.0,2574.5,2613.5,0.58373207,-0.26283988,1503.561,1670.2869,959.93335,1065.2188,970.8331,44.72136,1060.3885,1101.4481,3093.9797,3119.0295,1545.8622,1588.4398,1078.0,1112.0,2414.5,2453.0,-0.35269922,0.35269922,0.99379367,-0.0031128405,1270.3654,1824.5068,1670.1965,50.408333,2190.7244,1270.3654,3233.7205,1796.7596,1270.5,2615.0,1824.5068,1670.1965,2000.4304,2035.346,1710.5,1750.5,0.0031128405,-0.0031128405,0.553306,0.44343492,0.4571038,0.096414,199.98370703248196
8,0.28511038,1.7976347,1.898305,-0.4869565,-0.32178548,0.4869565,2.8983052,0.19005127,-18450.0,0.53088236,-0.30643612,1697.5205,1955.2355,1050.8711,1181.6656,1046.5468,4128.0,4128.0,46.80812,-0.28511038,1156.3114,1239.5988,3123.5085,3171.8508,1727.4088,1798.2428,1195.5,1257.5,2473.0,2552.5,3756.0,3306.508,4614.0,4081.8972,0.4769821,-0.35411257,1877.0337,2181.9517,1108.3853,1336.4749,1169.8125,-0.23635511,0.23635511,48.8774,1210.8997,1305.7488,3198.1912,3243.0654,1856.6693,1936.2347,1259.5,1338.0,2549.0,2631.5,0.5682493,-0.27530748,1627.5978,1847.7806,1016.1535,1110.9852,988.4083,45.98913,1114.2297,1193.866,3080.3416,3113.7485,1632.5884,1721.6692,1134.5,1207.0,2418.5,2499.0,-0.3180264,0.3180264,0.92757475,-0.037573252,1408.5142,2137.4272,1849.2415,53.08484,2554.6475,1408.5142,3257.5952,1993.3138,1409.0,2693.5,2137.4272,1849.2415,2196.9436,2261.871,1862.5,1941.0,0.037573252,-0.037573252,0.5561116,0.44070008,0.43773767,0.11759466,190.60287091849347
9,0.23363286,1.6097152,1.1831797,-0.37169743,-0.23538582,0.37169743,2.1831796,0.15573025,-13692.0,0.65452933,-0.20880301,1332.2115,1422.9401,951.606,1059.0068,989.2079,2586.7524,2586.7524,44.21538,-0.23363286,1012.7458,1039.75,2413.0254,2433.4548,1463.9143,1494.2296,1024.0,1049.0,1981.5,2010.0,2543.1572,2382.2197,2823.0354,2682.8435,0.5974643,-0.25198412,1483.7401,1556.5782,993.8511,1148.7557,1077.7415,-0.18835413,0.18835413,45.243786,1053.255,1083.356,2454.9236,2478.575,1546.5522,1583.168,1073.5,1099.5,2021.5,2056.0,0.65912896,-0.20545179,1337.3967,1414.658,949.78314,1027.4127,971.40204,44.11349,1004.97314,1033.8447,2391.267,2406.9878,1452.2869,1485.0758,1014.0,1044.0,1966.0,1987.0,-0.24,0.24,0.97557,-0.012366035,1169.9277,1558.0929,1494.2478,48.373547,1793.4724,1169.9277,2525.273,1654.732,1170.0,2119.5,1558.0929,1494.2478,1868.5813,1891.3472,1601.0,1628.0,0.012366035,-0.012366035,0.7988526,0.20281526,0.537039,0.26185918,77.04426186105157
